author_id,dist
580,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2937,"[0.021739130434782608, 0.2826086956521739, 0.1956521739130435, 0.043478260869565216, 0.043478260869565216, 0.41304347826086957]"
3199,"[0.19662921348314608, 0.0449438202247191, 0.1797752808988764, 0.02247191011235955, 0.16292134831460675, 0.39325842696629215]"
2207,"[0.014084507042253521, 0.03219315895372234, 0.5412474849094567, 0.018108651911468814, 0.026156941649899398, 0.3682092555331992]"
1299,"[0.01015228426395939, 0.030456852791878174, 0.07106598984771574, 0.0, 0.04060913705583756, 0.8477157360406091]"
646,"[0.0, 0.00954653937947494, 0.0, 0.0, 0.0, 0.9904534606205251]"
1699,"[0.11438848920863309, 0.1460431654676259, 0.08273381294964029, 0.030215827338129497, 0.014388489208633094, 0.6122302158273382]"
1348,"[0.16030534351145037, 0.03435114503816794, 0.1297709923664122, 0.019083969465648856, 0.08778625954198473, 0.5687022900763359]"
3529,"[0.12152777777777778, 0.1736111111111111, 0.1284722222222222, 0.14930555555555555, 0.006944444444444444, 0.4201388888888889]"
3292,"[0.0, 0.02702702702702703, 0.0, 0.0, 0.02702702702702703, 0.9459459459459459]"
763,"[0.005714285714285714, 0.11428571428571428, 0.07428571428571429, 0.011428571428571429, 0.011428571428571429, 0.7828571428571428]"
1116,"[0.12169312169312169, 0.1574074074074074, 0.08333333333333333, 0.021164021164021163, 0.041005291005291, 0.5753968253968254]"
1907,"[0.18604651162790697, 0.004651162790697674, 0.24651162790697675, 0.037209302325581395, 0.004651162790697674, 0.5209302325581395]"
345,"[0.0, 0.0, 0.3333333333333333, 0.0, 0.125, 0.5416666666666666]"
1624,"[0.0, 0.6956521739130435, 0.08695652173913043, 0.17391304347826086, 0.0, 0.043478260869565216]"
3070,"[0.0440251572327044, 0.08176100628930817, 0.5031446540880503, 0.025157232704402517, 0.0, 0.34591194968553457]"
1885,"[0.0, 0.06504065040650407, 0.0, 0.22764227642276422, 0.0, 0.7073170731707317]"
2813,"[0.06666666666666667, 0.06666666666666667, 0.0, 0.0, 0.0, 0.8666666666666667]"
2708,"[0.046703296703296704, 0.006868131868131868, 0.3695054945054945, 0.020604395604395604, 0.16071428571428573, 0.3956043956043956]"
1638,"[0.0, 0.07569721115537849, 0.00796812749003984, 0.0, 0.00796812749003984, 0.9083665338645418]"
904,"[0.028985507246376812, 0.0, 0.9333333333333333, 0.0, 0.0, 0.03768115942028986]"
3353,"[0.4050179211469534, 0.14336917562724014, 0.03942652329749104, 0.043010752688172046, 0.014336917562724014, 0.3548387096774194]"
577,"[0.0, 0.025, 0.175, 0.05, 0.0, 0.75]"
788,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
313,"[0.00798175598631699, 0.01710376282782212, 0.02565564424173318, 0.020524515393386546, 0.0011402508551881414, 0.927594070695553]"
3435,"[0.15337423312883436, 0.07975460122699386, 0.006134969325153374, 0.09815950920245399, 0.0, 0.6625766871165644]"
1255,"[0.026737967914438502, 0.0066844919786096255, 0.3114973262032086, 0.0, 0.3502673796791444, 0.3048128342245989]"
3335,"[0.0, 0.03571428571428571, 0.32142857142857145, 0.14285714285714285, 0.0, 0.5]"
2034,"[0.04288939051918736, 0.040632054176072234, 0.690744920993228, 0.01580135440180587, 0.022573363431151242, 0.1873589164785553]"
2908,"[0.034055727554179564, 0.006191950464396285, 0.006191950464396285, 0.006191950464396285, 0.0030959752321981426, 0.9442724458204335]"
1104,"[0.05028328611898017, 0.13172804532577903, 0.15226628895184136, 0.07719546742209632, 0.056657223796033995, 0.5318696883852692]"
3121,"[0.29444444444444445, 0.11777777777777777, 0.011111111111111112, 0.08888888888888889, 0.04111111111111111, 0.44666666666666666]"
388,"[0.1526360544217687, 0.06143707482993197, 0.10459183673469388, 0.07249149659863946, 0.03550170068027211, 0.5733418367346939]"
2832,"[0.0, 0.0, 0.0, 0.8888888888888888, 0.0, 0.1111111111111111]"
1573,"[0.2524271844660194, 0.07766990291262135, 0.006472491909385114, 0.042071197411003236, 0.019417475728155338, 0.6019417475728155]"
1900,"[0.09155766944114149, 0.0, 0.3686087990487515, 0.23781212841854935, 0.1700356718192628, 0.13198573127229488]"
193,"[0.2833333333333333, 0.011111111111111112, 0.005555555555555556, 0.0, 0.0, 0.7]"
1524,"[0.5, 0.0, 0.0, 0.07894736842105263, 0.0, 0.42105263157894735]"
2334,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1919,"[0.03571428571428571, 0.10714285714285714, 0.05952380952380952, 0.011904761904761904, 0.0, 0.7857142857142857]"
3590,"[0.10064935064935066, 0.0698051948051948, 0.0016233766233766235, 0.008116883116883116, 0.00487012987012987, 0.814935064935065]"
1174,"[0.10638297872340426, 0.0, 0.0, 0.0, 0.03900709219858156, 0.8546099290780141]"
3290,"[0.5833333333333334, 0.0, 0.0, 0.0, 0.0, 0.4166666666666667]"
1253,"[0.0, 0.0, 0.03018867924528302, 0.6264150943396226, 0.0037735849056603774, 0.33962264150943394]"
1055,"[0.011583011583011582, 0.0, 0.04633204633204633, 0.0, 0.0, 0.9420849420849421]"
3252,"[0.2835164835164835, 0.07032967032967033, 0.002197802197802198, 0.16923076923076924, 0.07032967032967033, 0.4043956043956044]"
1629,"[0.0, 0.0, 0.7051792828685259, 0.0, 0.07569721115537849, 0.21912350597609562]"
3581,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2566,"[0.052763819095477386, 0.16834170854271358, 0.14321608040201006, 0.007537688442211055, 0.06030150753768844, 0.5678391959798995]"
464,"[0.11827956989247312, 0.05913978494623656, 0.15053763440860216, 0.043010752688172046, 0.05913978494623656, 0.5698924731182796]"
2677,"[0.029411764705882353, 0.029411764705882353, 0.20588235294117646, 0.0, 0.14705882352941177, 0.5882352941176471]"
1342,"[0.05817174515235457, 0.1994459833795014, 0.013850415512465374, 0.0886426592797784, 0.01662049861495845, 0.6232686980609419]"
237,"[0.014492753623188406, 0.0, 0.0, 0.0, 0.0, 0.9855072463768116]"
1099,"[0.20512820512820512, 0.04700854700854701, 0.017094017094017096, 0.11538461538461539, 0.18376068376068377, 0.43162393162393164]"
1806,"[0.05813953488372093, 0.22093023255813954, 0.19767441860465115, 0.11627906976744186, 0.046511627906976744, 0.36046511627906974]"
18,"[0.7603305785123967, 0.04132231404958678, 0.0, 0.06611570247933884, 0.0, 0.1322314049586777]"
2339,"[0.08641975308641975, 0.02880658436213992, 0.1934156378600823, 0.0, 0.00823045267489712, 0.6831275720164609]"
1441,"[0.07142857142857142, 0.0, 0.21428571428571427, 0.0, 0.0, 0.7142857142857143]"
3445,"[0.0, 0.0, 0.9862542955326461, 0.0, 0.000572737686139748, 0.013172966781214204]"
2,"[0.4067796610169492, 0.06779661016949153, 0.11864406779661017, 0.03389830508474576, 0.03389830508474576, 0.3389830508474576]"
2994,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.75]"
3428,"[0.06521739130434782, 0.043478260869565216, 0.3695652173913043, 0.13768115942028986, 0.0, 0.38405797101449274]"
3402,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.625]"
205,"[0.029490616621983913, 0.1581769436997319, 0.3967828418230563, 0.03485254691689008, 0.07506702412868632, 0.30563002680965146]"
3577,"[0.2824074074074074, 0.0787037037037037, 0.018518518518518517, 0.06018518518518518, 0.013888888888888888, 0.5462962962962963]"
1945,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2535,"[0.1550632911392405, 0.189873417721519, 0.09177215189873418, 0.05379746835443038, 0.00949367088607595, 0.5]"
2036,"[0.7320471596998929, 0.0010718113612004287, 0.0, 0.05894962486602358, 0.0, 0.20793140407288319]"
1214,"[0.05067567567567568, 0.048986486486486486, 0.02533783783783784, 0.0033783783783783786, 0.015202702702702704, 0.856418918918919]"
2706,"[0.0, 0.20427807486631017, 0.0042780748663101605, 0.0, 0.0, 0.7914438502673797]"
9,"[0.6153846153846154, 0.0, 0.0, 0.23076923076923078, 0.0, 0.15384615384615385]"
3095,"[0.0022123893805309734, 0.030973451327433628, 0.38495575221238937, 0.4269911504424779, 0.05530973451327434, 0.09955752212389381]"
622,"[0.35634451019066404, 0.021696252465483234, 0.3809993425378041, 0.0026298487836949377, 0.015450361604207758, 0.22287968441814596]"
3622,"[0.14473684210526316, 0.0, 0.013157894736842105, 0.0, 0.02631578947368421, 0.8157894736842105]"
514,"[0.050473186119873815, 0.16561514195583596, 0.10410094637223975, 0.11356466876971609, 0.033123028391167195, 0.5331230283911672]"
2140,"[0.0021691973969631237, 0.03470715835140998, 0.8655097613882863, 0.006507592190889371, 0.01735357917570499, 0.0737527114967462]"
1673,"[0.012345679012345678, 0.012345679012345678, 0.5802469135802469, 0.0, 0.0, 0.3950617283950617]"
522,"[0.21495327102803738, 0.0, 0.009345794392523364, 0.009345794392523364, 0.37383177570093457, 0.3925233644859813]"
53,"[0.36147757255936674, 0.21899736147757257, 0.0633245382585752, 0.0316622691292876, 0.0, 0.3245382585751979]"
3329,"[0.1059190031152648, 0.006230529595015576, 0.08722741433021806, 0.056074766355140186, 0.0, 0.7445482866043613]"
258,"[0.29411764705882354, 0.0, 0.0, 0.0, 0.0, 0.7058823529411765]"
2105,"[0.004807692307692308, 0.014423076923076924, 0.019230769230769232, 0.0, 0.21634615384615385, 0.7451923076923077]"
3073,"[0.03592814371257485, 0.03592814371257485, 0.0718562874251497, 0.001996007984031936, 0.08582834331337326, 0.7684630738522954]"
1432,"[0.0, 0.04790419161676647, 0.17365269461077845, 0.47904191616766467, 0.023952095808383235, 0.2754491017964072]"
1725,"[0.0975609756097561, 0.12195121951219512, 0.0, 0.07317073170731707, 0.04878048780487805, 0.6585365853658537]"
2432,"[0.026881720430107527, 0.043010752688172046, 0.6935483870967742, 0.005376344086021506, 0.0, 0.23118279569892472]"
58,"[0.0421455938697318, 0.007662835249042145, 0.0, 0.0, 0.19157088122605365, 0.7586206896551724]"
1970,"[0.07446808510638298, 0.0851063829787234, 0.14893617021276595, 0.0425531914893617, 0.06382978723404255, 0.5851063829787234]"
709,"[0.041666666666666664, 0.0, 0.020833333333333332, 0.0, 0.5625, 0.375]"
3348,"[0.08385093167701864, 0.3416149068322981, 0.07453416149068323, 0.024844720496894408, 0.031055900621118012, 0.4440993788819876]"
2378,"[0.6097560975609756, 0.04878048780487805, 0.0, 0.032520325203252036, 0.008130081300813009, 0.3008130081300813]"
2059,"[0.6419753086419753, 0.030864197530864196, 0.06172839506172839, 0.037037037037037035, 0.006172839506172839, 0.2222222222222222]"
2013,"[0.045454545454545456, 0.12987012987012986, 0.18181818181818182, 0.0, 0.006493506493506494, 0.6363636363636364]"
1898,"[0.09774436090225563, 0.0037593984962406013, 0.0, 0.0, 0.022556390977443608, 0.8759398496240601]"
909,"[0.18575553416746873, 0.09528392685274302, 0.13282001924927817, 0.0019249278152069298, 0.0519730510105871, 0.5322425409047161]"
1084,"[0.0890937019969278, 0.11367127496159754, 0.16436251920122888, 0.013824884792626729, 0.016897081413210446, 0.6021505376344086]"
2921,"[0.0, 0.07236842105263158, 0.0, 0.07236842105263158, 0.006578947368421052, 0.8486842105263158]"
1908,"[0.032919847328244274, 0.09208015267175572, 0.03816793893129771, 0.15648854961832062, 0.2848282442748092, 0.3955152671755725]"
572,"[0.0007189072609633358, 0.0, 0.9604601006470166, 0.0, 0.011502516175413372, 0.027318475916606758]"
2881,"[0.04170286707211121, 0.015638575152041704, 0.3631624674196351, 0.022589052997393572, 0.009556907037358819, 0.5473501303214596]"
1974,"[0.01639344262295082, 0.0273224043715847, 0.03825136612021858, 0.29508196721311475, 0.01092896174863388, 0.6120218579234973]"
17,"[0.052, 0.114, 0.342, 0.032, 0.12, 0.34]"
1429,"[0.07142857142857142, 0.05714285714285714, 0.05714285714285714, 0.0, 0.0, 0.8142857142857143]"
579,"[0.4240056818181818, 0.078125, 0.022017045454545456, 0.011363636363636364, 0.008522727272727272, 0.4559659090909091]"
486,"[0.09090909090909091, 0.20454545454545456, 0.4090909090909091, 0.022727272727272728, 0.03787878787878788, 0.23484848484848486]"
3181,"[0.4782608695652174, 0.0, 0.10869565217391304, 0.0, 0.0, 0.41304347826086957]"
475,"[0.3333333333333333, 0.024154589371980676, 0.2560386473429952, 0.1111111111111111, 0.03864734299516908, 0.23671497584541062]"
532,"[0.0125, 0.2, 0.0, 0.05, 0.06666666666666667, 0.6708333333333333]"
2197,"[0.03867403314917127, 0.16022099447513813, 0.03867403314917127, 0.0, 0.0, 0.7624309392265194]"
1511,"[0.0482897384305835, 0.158953722334004, 0.0, 0.010731052984574111, 0.0026827632461435278, 0.7793427230046949]"
365,"[0.047058823529411764, 0.0, 0.0, 0.0, 0.0, 0.9529411764705882]"
2577,"[0.13142857142857142, 0.0, 0.0, 0.0019047619047619048, 0.07428571428571429, 0.7923809523809524]"
1261,"[0.02564102564102564, 0.20797720797720798, 0.21082621082621084, 0.19658119658119658, 0.039886039886039885, 0.3190883190883191]"
1452,"[0.25, 0.16071428571428573, 0.017857142857142856, 0.0, 0.0, 0.5714285714285714]"
1405,"[0.046511627906976744, 0.08139534883720931, 0.0, 0.10465116279069768, 0.03488372093023256, 0.7325581395348837]"
3306,"[0.0, 0.17901234567901234, 0.36419753086419754, 0.006172839506172839, 0.030864197530864196, 0.41975308641975306]"
932,"[0.13575525812619502, 0.07074569789674952, 0.0, 0.26003824091778205, 0.055449330783938815, 0.4780114722753346]"
872,"[0.1111111111111111, 0.031746031746031744, 0.07936507936507936, 0.15873015873015872, 0.0, 0.6190476190476191]"
4,"[0.1777150916784203, 0.039492242595204514, 0.4513399153737659, 0.0, 0.0, 0.3314527503526093]"
967,"[0.046822742474916385, 0.013377926421404682, 0.4983277591973244, 0.0, 0.010033444816053512, 0.431438127090301]"
2269,"[0.14655172413793102, 0.0812807881773399, 0.29433497536945813, 0.007389162561576354, 0.006157635467980296, 0.4642857142857143]"
1169,"[0.058823529411764705, 0.2647058823529412, 0.0, 0.17647058823529413, 0.0, 0.5]"
1119,"[0.8012820512820513, 0.04487179487179487, 0.00641025641025641, 0.09615384615384616, 0.00641025641025641, 0.04487179487179487]"
1564,"[0.27671232876712326, 0.06575342465753424, 0.0027397260273972603, 0.0, 0.005479452054794521, 0.6493150684931507]"
991,"[0.4986413043478261, 0.012907608695652174, 0.22894021739130435, 0.0020380434782608695, 0.0, 0.25747282608695654]"
1571,"[0.005841121495327103, 0.037383177570093455, 0.8271028037383178, 0.005841121495327103, 0.036214953271028034, 0.08761682242990654]"
1915,"[0.9350180505415162, 0.0036101083032490976, 0.0, 0.0, 0.007220216606498195, 0.05415162454873646]"
441,"[0.028070175438596492, 0.04912280701754386, 0.0, 0.0, 0.007017543859649123, 0.9157894736842105]"
1294,"[0.35, 0.012121212121212121, 0.42424242424242425, 0.022727272727272728, 0.024242424242424242, 0.16666666666666666]"
43,"[0.16666666666666666, 0.018518518518518517, 0.0, 0.0, 0.0, 0.8148148148148148]"
1975,"[0.3333333333333333, 0.19672131147540983, 0.03278688524590164, 0.04371584699453552, 0.0, 0.39344262295081966]"
